started,completed,collector_name,status
2022-10-26 15:17:28.716438+00,2022-10-26 15:19:26.918678+00,intrigue_scanner,Completed
2022-10-26 15:17:28.717337+00,2022-10-26 15:17:29.995916+00,collector_domain_crtsh,Completed
2022-10-26 15:17:28.717978+00,2022-10-26 15:17:29.126212+00,collector_domain_whois,Completed
2022-10-26 15:17:28.889955+00,2022-10-26 15:17:29.025129+00,collector_dns,Completed
2022-10-26 15:17:28.893499+00,2022-10-26 15:17:29.036887+00,collector_dns,Completed
2022-10-26 15:17:28.894948+00,2022-10-26 15:17:29.027462+00,collector_dns,Error
2022-10-26 15:17:29.15574+00,2022-10-26 15:17:31.02838+00,collector_reverse_dns,Completed
2022-10-26 15:17:29.159697+00,2022-10-26 15:17:29.758247+00,collector_ip_whois,Completed
2022-10-26 15:17:29.165964+00,2022-10-26 15:17:29.291967+00,collector_reverse_dns,Completed
2022-10-26 15:17:29.172597+00,2022-10-26 15:17:29.439102+00,collector_ip_whois,Completed
2022-10-26 15:17:29.213406+00,2022-10-26 15:18:37.017827+00,collector_nmap,Completed
2022-10-26 15:17:29.291403+00,2022-10-26 15:17:37.047852+00,collector_domain_crtsh,Completed
2022-10-26 15:17:29.294182+00,2022-10-26 15:17:29.696075+00,collector_domain_whois,Completed
2022-10-26 15:17:29.317944+00,2022-10-26 15:17:29.59787+00,collector_dns,Completed
2022-10-26 15:17:29.341816+00,2022-10-26 15:17:29.429727+00,collector_dns,Completed
2022-10-26 15:17:29.348805+00,2022-10-26 15:17:29.428423+00,collector_dns,Error
2022-10-26 15:17:29.630258+00,2022-10-26 15:17:29.701357+00,collector_reverse_dns,Completed
2022-10-26 15:17:29.632171+00,2022-10-26 15:17:29.799592+00,collector_ip_whois,Completed
2022-10-26 15:17:29.68204+00,2022-10-26 15:17:29.803162+00,collector_reverse_dns,Completed
2022-10-26 15:17:29.683103+00,2022-10-26 15:18:08.373707+00,collector_ip_whois,Completed
2022-10-26 15:17:29.705861+00,2022-10-26 15:23:19.774286+00,collector_nmap,Completed
2022-10-26 15:17:37.163315+00,2022-10-26 15:18:12.073976+00,collector_domain_crtsh,Completed
2022-10-26 15:17:37.177039+00,2022-10-26 15:17:59.412148+00,collector_domain_whois,Error
2022-10-26 15:17:37.21073+00,2022-10-26 15:18:07.979508+00,collector_dns,Error
2022-10-26 15:17:37.248893+00,2022-10-26 15:18:08.065004+00,collector_dns,Error
2022-10-26 15:17:37.247898+00,2022-10-26 15:18:12.499552+00,collector_domain_crtsh,Completed
2022-10-26 15:17:39.272382+00,2022-10-26 15:18:07.936566+00,collector_dns,Error
2022-10-26 15:17:37.251617+00,2022-10-26 15:17:59.355651+00,collector_domain_whois,Error
2022-10-26 15:17:39.307352+00,2022-10-26 15:18:07.967709+00,collector_dns,Completed
2022-10-26 15:17:39.299506+00,2022-10-26 15:18:08.044455+00,collector_domain_whois,Completed
2022-10-26 15:17:39.312903+00,2022-10-26 15:18:12.497428+00,collector_domain_crtsh,Completed
2022-10-26 15:17:39.321657+00,2022-10-26 15:18:07.939013+00,collector_dns,Completed
2022-10-26 15:17:39.308968+00,2022-10-26 15:18:12.101988+00,collector_domain_crtsh,Completed
2022-10-26 15:17:39.327864+00,2022-10-26 15:18:08.077211+00,collector_domain_whois,Completed
2022-10-26 15:17:39.337743+00,2022-10-26 15:18:08.049987+00,collector_dns,Completed
2022-10-26 15:17:59.357552+00,2022-10-26 15:18:08.067219+00,collector_dns,Completed
2022-10-26 15:17:59.361744+00,2022-10-26 15:18:08.535664+00,collector_dns,Error
2022-10-26 15:17:59.356962+00,2022-10-26 15:18:08.027946+00,collector_dns,Error
2022-10-26 15:18:07.991745+00,2022-10-26 15:18:08.057286+00,collector_dns,Completed
2022-10-26 15:18:08.01659+00,2022-10-26 15:18:08.078379+00,collector_dns,Completed
2022-10-26 15:18:08.020467+00,2022-10-26 15:18:08.081701+00,collector_dns,Error
2022-10-26 15:18:37.100854+00,2022-10-26 15:18:38.418695+00,collector_ident,Completed
2022-10-26 15:18:37.163468+00,2022-10-26 15:19:08.558319+00,collector_ident,Completed
2022-10-26 15:18:37.209562+00,2022-10-26 15:18:39.122309+00,collector_ident,Completed
2022-10-26 15:18:37.238344+00,2022-10-26 15:18:39.183263+00,collector_ident,Completed
2022-10-26 15:23:19.848822+00,2022-10-26 15:23:20.063304+00,collector_ident,Completed
2022-10-26 15:23:19.886605+00,2022-10-26 15:23:51.342386+00,collector_ident,Completed
2022-10-26 15:23:19.943375+00,2022-10-26 15:23:21.356404+00,collector_ident,Completed
2022-10-26 15:23:20.011837+00,2022-10-26 15:23:20.125843+00,collector_ident,Completed
2022-10-26 15:23:20.043751+00,2022-10-26 15:23:23.131859+00,collector_ident,Completed
2022-10-26 15:23:20.046038+00,2022-10-26 15:23:23.225818+00,collector_ident,Completed
2022-10-26 15:23:20.056713+00,2022-10-26 15:23:24.235027+00,collector_ident,Completed
2022-10-26 15:23:20.078604+00,2022-10-26 15:23:23.342614+00,collector_ident,Completed
2022-10-26 15:23:20.1007+00,2022-10-26 15:23:25.40956+00,collector_ident,Completed
2022-10-26 15:23:20.134428+00,2022-10-26 15:23:22.291753+00,collector_ident,Completed
2022-10-26 15:23:20.171265+00,2022-10-26 15:23:21.753941+00,collector_ident,Completed
2022-10-26 15:23:20.192188+00,2022-10-26 15:23:23.607266+00,collector_ident,Completed
2022-10-26 15:23:21.37262+00,2022-10-26 15:23:25.112229+00,collector_ident,Completed